PSP_CODE,CF,BIC,ABI
ABI08295,00181320219,TBD,08295
ABI08302,00138880216,TBD,08302
ABI08307,00181170218,TBD,08307
ABI08998,00202890216,TBD,08998
RZSBIT21008,00181060211,RZSBIT21008,TBD
RZSBIT21009,00143210219,RZSBIT21009,TBD
RZSBIT21005,00198190217,RZSBIT21005,TBD
RZSBIT21011,00170970214,RZSBIT21011,TBD
RZSBIT21510,00182930214,RZSBIT21510,TBD
RZSBIT21024,00137230215,RZSBIT21024,TBD
RZSBIT21138,00174900217,RZSBIT21138,TBD
RZSBIT21003,00180630212,RZSBIT21003,TBD
RZSBIT21049,00159510213,RZSBIT21049,TBD
RZSBIT21015,00147150213,RZSBIT21015,TBD
RZSBIT21001,00163310212,RZSBIT21001,TBD
RZSBIT21013,00181170218,RZSBIT21013,TBD
RZSBIT21317,00143480218,RZSBIT21317,TBD
RZSBIT21014,00186510210,RZSBIT21014,TBD
RZSBIT21012,00163250210,RZSBIT21012,TBD
RZSBIT21018,00147690218,RZSBIT21018,TBD
CIVIIT2C,00249360306,CIVIIT2C,05484
CIPYIT31,01806800676,CIPYIT31,TBD
ABI36080,04335420404,None,36080
