PSP_CODE,CF,BIC,ABI,ENABLED
ICRAITRRB10,00254540040,ICRAITRRB10,TBD,Y
CCRTIT2TCSS,00167420041,CCRTIT2TCSS,TBD,Y
ICRAIT3FKG0,00409340486,ICRAIT3FKG0,TBD,Y
ICRAITRRCL0,01132850155,ICRAITRRCL0,TBD,Y
CCRTIT2TBTL,00436650170,CCRTIT2TBTL,TBD,Y
CRBZIT2B,00152980215,CRBZIT2B,TBD,Y
BPPUIT33,02848590754,BPPUIT33,TBD,Y
ICRAITRRB80,00688150150,ICRAITRRB80,TBD,Y
ICRAITRR8R0,01548170230,ICRAITRR8R0,TBD,Y
CCRTIT2TBCV,01405390244,CCRTIT2TBCV,TBD,Y
CCRTIT2T99A,00249930306,CCRTIT2T99A,TBD,Y
ICRAITRRAI0,00258900653,ICRAITRRAI0,TBD,Y
ICRAITRRTV0,03518350545,ICRAITRRTV0,TBD,Y
CCRTIT2TBEN,00167340041,CCRTIT2TBEN,08382,Y
ICRAITRR9H0,00193930823,ICRAITRR9H0,TBD,Y
ICRAITRRNN0,01602230532,ICRAITRRNN0,TBD,Y
CCRTIT2TCAR,00245130042,CCRTIT2TCAR,TBD,Y
CCRTIT2TVAL,00365360072,CCRTIT2TVAL,TBD,Y
CCRTIT2TBCE,01402600389,CCRTIT2TBCE,TBD,Y
ICRAITRRU40,03669140265,ICRAITRRU40,TBD,Y
ICRAITRRJM0,00059520742,ICRAITRRJM0,TBD,Y
ICRAITRR900,12514870158,ICRAITRR900,TBD,Y
CCRTIT2TBOV,00254540040,CCRTIT2TBOV,TBD,Y
ICRAITRRLV0,01025110584,ICRAITRRLV0,TBD,Y
BCCTIT2T,00255130163,BCCTIT2T,TBD,Y
CCRTIT2T47A,00109850222,CCRTIT2T47A,TBD,Y
ICRAITRRFW0,00068860709,ICRAITRRFW0,TBD,Y
CCRTIT2TCIV,00096960430,CCRTIT2TCIV,TBD,Y
CRLVIT21XXX,03515830168,CRLVIT21XXX,TBD,Y
ICRAITRRCU0,00068200393,ICRAITRRCU0,TBD,Y
CCRTIT2TSMZ,00130830730,CCRTIT2TSMZ,TBD,Y
CCRTIT2TAQU,00639000652,CCRTIT2TAQU,TBD,Y
CCRTIT2TFOB,00067610931,CCRTIT2TFOB,TBD,Y
ICRAITRRTQ0,04241970401,ICRAITRRTQ0,TBD,Y
ICRAITRRTI0,02300410780,ICRAITRRTI0,TBD,Y
ICRAITRROUO,00781330154,ICRAITRROUO,TBD,Y
ICRAITRRRN0,04241950403,ICRAITRRRN0,TBD,Y
ICRAITRRNR0,00252880653,ICRAITRRNR0,TBD,Y
ICRAITRRFE0,93000870761,ICRAITRRFE0,TBD,Y
PASCITMM,00884060526,PASCITMM,01030,Y
ICRAITRROL0,03518350545,ICRAITRROL0,TBD,Y
ICRAITRRFZ0,00284980174,ICRAITRRFZ0,TBD,Y
ICRAITRRKT0,00176640266,ICRAITRRKT0,TBD,Y
ICRAITRRQG0,00055510853,ICRAITRRQG0,TBD,Y
CCRTIT2TPRE,00254520265,CCRTIT2TPRE,08904,Y
ABI08010,00181060211,TBD,08010,Y
ABI08035,00198190217,TBD,08035,Y
ABI08056,00170970214,TBD,08056,Y
ABI08065,00182930214,TBD,08065,Y
ABI08066,00137230215,TBD,08066,Y
ABI08080,00174900217,TBD,08080,Y
ABI08081,00180630212,TBD,08081,Y
ABI08094,00159510213,TBD,08094,Y
ABI08110,00147150213,TBD,08110,Y
ABI08112,00163310212,TBD,08112,Y
ABI08113,00181170218,TBD,08113,Y
ABI08114,00143480218,TBD,08114,Y
ABI08115,00186510210,TBD,08115,Y
ABI08117,00163250210,TBD,08117,Y
ABI08134,00147690218,TBD,08134,Y
ABI08148,00171380215,TBD,08148,Y
ABI08157,00159550219,TBD,08157,Y
ABI08162,00163220213,TBD,08162,Y
ABI08175,00169290210,TBD,08175,Y
ABI08182,00165630211,TBD,08182,Y
ABI08183,00161920210,TBD,08183,Y
ABI08220,00147330211,TBD,08220,Y
ABI08231,00137770210,TBD,08231,Y
ABI08233,00181040213,TBD,08233,Y
ABI08234,00143180214,TBD,08234,Y
ABI08238,00134590215,TBD,08238,Y
ABI08244,00171320211,TBD,08244,Y
ABI08249,00143170215,TBD,08249,Y
ABI08255,00142030212,TBD,08255,Y
ABI08269,00158030213,TBD,08269,Y
ABI08273,00146490214,TBD,08273,Y
ABI08278,00129600219,TBD,08278,Y
ABI08285,00193730215,TBD,08285,Y
ABI08295,00181320219,TBD,08295,Y
ABI08302,00138880216,TBD,08302,Y
ABI08307,00181170218,TBD,08307,Y
ABI08998,00202890216,TBD,08998,Y
RZSBIT21008,00181060211,RZSBIT21008,TBD,Y
RZSBIT21009,00143210219,RZSBIT21009,TBD,Y
RZSBIT21005,00198190217,RZSBIT21005,TBD,Y
RZSBIT21011,00170970214,RZSBIT21011,TBD,Y
RZSBIT21510,00182930214,RZSBIT21510,TBD,Y
RZSBIT21024,00137230215,RZSBIT21024,TBD,Y
RZSBIT21138,00174900217,RZSBIT21138,TBD,Y
RZSBIT21003,00180630212,RZSBIT21003,TBD,Y
RZSBIT21049,00159510213,RZSBIT21049,TBD,Y
RZSBIT21015,00147150213,RZSBIT21015,TBD,Y
RZSBIT21001,00163310212,RZSBIT21001,TBD,Y
RZSBIT21013,00181170218,RZSBIT21013,TBD,Y
RZSBIT21317,00143480218,RZSBIT21317,TBD,Y
RZSBIT21014,00186510210,RZSBIT21014,TBD,Y
RZSBIT21012,00163250210,RZSBIT21012,TBD,Y
RZSBIT21018,00147690218,RZSBIT21018,TBD,Y
CIVIIT2C,00249360306,CIVIIT2C,05484,Y
CIPYIT31,01806800676,CIPYIT31,TBD,Y
ABI36080,04335420404,None,36080,Y
